symbol,exchange,mic,name,currency,type,shares_outstanding,last_updated,is_active
AGD,NYSE,XNYS,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,USD,Common Stock,24877555,2025-10-19 04:10:28.712214,1
AGI,NYSE,XNYS,Alamos Gold Inc. Class A Common Shares,USD,Common Stock,420429090,2025-10-19 04:10:28.655453,1
AGL,NYSE,XNYS,"agilon health, inc. Common Stock",USD,Common Stock,414423149,2025-10-19 04:10:28.652073,1
AGM,NYSE,XNYS,Federal Agricultural Mortgage Corporation Common Stock,USD,Common Stock,9402841,2025-10-19 04:10:28.775540,1
AGO,NYSE,XNYS,Assured Guaranty Ltd. Common Stock,USD,Common Stock,47593219,2025-10-19 04:10:28.829060,1
AGRO,NYSE,XNYS,Adecoagro S.A. Common Shares,USD,Common Stock,100069440,2025-10-19 04:10:28.908061,1
AGX,NYSE,XNYS,"Argan, Inc. Common Stock",USD,Common Stock,13811575,2025-10-19 04:10:29.238054,1
AHH,NYSE,XNYS,"Armada Hoffler Properties, Inc. Common Stock",USD,Common Stock,80158804,2025-10-19 04:10:29.206249,1
AHL,NYSE,XNYS,Aspen Insurance Holdings Limited Class A Ordinary Shares,USD,Common Stock,91838366,2025-10-19 04:10:29.641561,1
AHR,NYSE,XNYS,"American Healthcare REIT, Inc. Common Stock",USD,Common Stock,168575204,2025-10-19 04:10:30.079087,1
AHT,NYSE,XNYS,Ashford Hospitality Trust Inc Common Stock,USD,Common Stock,6132193,2025-10-19 04:10:30.069973,1
AI,NYSE,XNYS,"C3.ai, Inc. Class A Common Stock",USD,Common Stock,134349704,2025-10-19 04:10:30.671572,1
AII,NYSE,XNYS,"American Integrity Insurance Group, Inc. Common Stock",USD,Common Stock,19571965,2025-10-19 04:10:30.664066,1
AIG,NYSE,XNYS,"American International Group, Inc. New Common Stock",USD,Common Stock,554003850,2025-10-19 04:10:30.200073,1
AIN,NYSE,XNYS,Albany International Corporation Common Stock,USD,Common Stock,29468056,2025-10-19 04:10:30.788328,1
AIO,NYSE,XNYS,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,USD,Common Stock,34430453,2025-10-19 04:10:31.094288,1
AIR,NYSE,XNYS,AAR Corp. Common Stock,USD,Common Stock,39562491,2025-10-19 04:10:30.780200,1
