symbol,exchange,mic,name,currency,type,shares_outstanding,last_updated,is_active
CODI,NYSE,XNYS,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,USD,Common Stock,75235966,2025-10-19 04:11:37.545110,1
COF,NYSE,XNYS,Capital One Financial Corporation Common Stock,USD,Common Stock,639517306,2025-10-19 04:11:37.553331,1
COHR,NYSE,XNYS,Coherent Corp. Common Stock,USD,Common Stock,156935310,2025-10-19 04:11:38.004322,1
COLD,NYSE,XNYS,"Americold Realty Trust, Inc. Common Stock",USD,Common Stock,284797783,2025-10-19 04:11:37.979074,1
COMP,NYSE,XNYS,"Compass, Inc. Class A Common Stock",USD,Common Stock,547418937,2025-10-19 04:11:37.982265,1
CON,NYSE,XNYS,"Concentra Group Holdings Parent, Inc. Common Stock",USD,Common Stock,128170952,2025-10-19 04:11:37.985696,1
COOK,NYSE,XNYS,"Traeger, Inc. Common Stock",USD,Common Stock,135886236,2025-10-19 04:11:37.974680,1
COP,NYSE,XNYS,ConocoPhillips Common Stock,USD,Common Stock,1248942311,2025-10-19 04:11:38.742568,1
COPL,NYSE,XNYS,Copley Acquisition Corp Ordinary Shares,USD,Common Stock,17978393,2025-10-19 04:11:38.734173,1
COR,NYSE,XNYS,"Cencora, Inc. Common Stock",USD,Common Stock,193877881,2025-10-19 04:11:38.962311,1
COSO,NYSE,XNYS,"CoastalSouth Bancshares, Inc. Common Stock",USD,Common Stock,10447142,2025-10-19 04:11:38.304790,1
COTY,NYSE,XNYS,Coty Inc. Class A Common Stock,USD,Common Stock,873857477,2025-10-19 04:11:38.325872,1
COUR,NYSE,XNYS,"Coursera, Inc. Common Stock",USD,Common Stock,163700000,2025-10-19 04:11:38.736649,1
CP,NYSE,XNYS,Canadian Pacific Kansas City Limited Common Shares,USD,Common Stock,917976339,2025-10-19 04:11:38.325591,1
CPA,NYSE,XNYS,"Copa Holdings, S.A. Class A Common Stock",USD,Common Stock,30196170,2025-10-19 04:11:38.321224,1
CPAC,NYSE,XNYS,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),USD,Common Stock,84773690,2025-10-19 04:11:38.336179,1
CPAY,NYSE,XNYS,"Corpay, Inc. Common Stock",USD,Common Stock,70614383,2025-10-19 04:11:38.740696,1
CPF,NYSE,XNYS,Central Pacific Financial Corp New,USD,Common Stock,26981436,2025-10-19 04:11:39.071437,1
CPK,NYSE,XNYS,Chesapeake Utilities Corporation Common Stock,USD,Common Stock,23544479,2025-10-19 04:11:38.965543,1
CPNG,NYSE,XNYS,"Coupang, Inc. Class A Common Stock",USD,Common Stock,1665262233,2025-10-19 04:11:38.975767,1
CPRI,NYSE,XNYS,Capri Holdings Limited Ordinary Shares,USD,Common Stock,119048057,2025-10-19 04:11:38.978926,1
CPS,NYSE,XNYS,Cooper-Standard Holdings Inc. Common Stock,USD,Common Stock,17633413,2025-10-19 04:11:39.006569,1
CPT,NYSE,XNYS,Camden Property Trust Common Stock,USD,Common Stock,106852727,2025-10-19 04:11:38.977756,1
CQP,NYSE,XNYS,"Cheniere Energy Partners, LP Common Units",USD,Common Stock,484048123,2025-10-19 04:11:38.968715,1
CR,NYSE,XNYS,Crane Company Common Stock,USD,Common Stock,57546840,2025-10-19 04:11:39.081899,1
CRBG,NYSE,XNYS,Corebridge Financial Inc. Common Stock,USD,Common Stock,538480330,2025-10-19 04:11:39.386655,1
CRC,NYSE,XNYS,California Resources Corporation Common Stock,USD,Common Stock,83690217,2025-10-19 04:11:39.087848,1
CRCL,NYSE,XNYS,"Circle Internet Group, Inc. Class A Common Stock",USD,Common Stock,211836558,2025-10-19 04:11:39.101707,1
CRGY,NYSE,XNYS,Crescent Energy Company Class A Common Stock,USD,Common Stock,254615178,2025-10-19 04:11:39.311944,1
CRH,NYSE,XNYS,CRH PLC Ordinary Shares,USD,Common Stock,670389532,2025-10-19 04:11:39.322012,1
CRI,NYSE,XNYS,"Carter's, Inc. Common Stock",USD,Common Stock,36432176,2025-10-19 04:11:39.310570,1
CRK,NYSE,XNYS,"Comstock Resources, Inc. Common Stock",USD,Common Stock,293066820,2025-10-19 04:11:39.312609,1
CRL,NYSE,XNYS,"Charles River Laboratories International, Inc. Common Stock",USD,Common Stock,49214178,2025-10-19 04:11:39.320978,1
CRM,NYSE,XNYS,"Salesforce, Inc. Common Stock",USD,Common Stock,952000000,2025-10-19 04:11:39.322967,1
CRS,NYSE,XNYS,Carpenter Technology Corporation Common Stock,USD,Common Stock,49850095,2025-10-19 04:11:39.847293,1
CRT,NYSE,XNYS,Cross Timbers Royalty Trust Common Stock,USD,Common Stock,6000000,2025-10-19 04:11:39.432441,1
CSAN,NYSE,XNYS,Cosan S.A. ADS,USD,Common Stock,464805469,2025-10-19 04:11:39.427255,1
CSL,NYSE,XNYS,Carlisle Companies Incorporated Common Stock,USD,Common Stock,42750735,2025-10-19 04:11:39.434991,1
CSR,NYSE,XNYS,D/B/A Centerspace Common Stock,USD,Common Stock,16756689,2025-10-19 04:11:39.434528,1
CSTM,NYSE,XNYS,Constellium SE Ordinary Shares (France),USD,Common Stock,139539023,2025-10-19 04:11:39.481680,1
CSV,NYSE,XNYS,"Carriage Services, Inc. Common Stock",USD,Common Stock,15698487,2025-10-19 04:11:39.848398,1
CSW,NYSE,XNYS,"CSW Industrials, Inc. Common Stock",USD,Common Stock,16802468,2025-10-19 04:11:40.236125,1
CTEV,NYSE,XNYS,Claritev Corporation Class A Common Stock,USD,Common Stock,16474835,2025-10-19 04:11:40.663809,1
CTO,NYSE,XNYS,"CTO Realty Growth, Inc. Common Stock",USD,Common Stock,32939610,2025-10-19 04:11:40.651875,1
CTOS,NYSE,XNYS,"Custom Truck One Source, Inc. Common Stock",USD,Common Stock,226559586,2025-10-19 04:11:40.776616,1
CTRA,NYSE,XNYS,Coterra Energy Inc. Common Stock,USD,Common Stock,763139972,2025-10-19 04:11:40.871458,1
CTRE,NYSE,XNYS,"CareTrust REIT, Inc. Common Stock",USD,Common Stock,222746343,2025-10-19 04:11:40.779606,1
CTRI,NYSE,XNYS,"Centuri Holdings, Inc. Common Stock",USD,Common Stock,88649154,2025-10-19 04:11:41.187150,1
CTS,NYSE,XNYS,CTS Corporation Common Stock,USD,Common Stock,29476637,2025-10-19 04:11:41.167455,1
CTVA,NYSE,XNYS,"Corteva, Inc. Common Stock ",USD,Common Stock,679100000,2025-10-19 04:11:41.178693,1
CUBE,NYSE,XNYS,CubeSmart Common Shares,USD,Common Stock,228035275,2025-10-19 04:11:41.186623,1
CUBI,NYSE,XNYS,"Customers Bancorp, Inc Common Stock",USD,Common Stock,34151437,2025-10-19 04:11:41.295911,1
CUK,NYSE,XNYS,Carnival Plc ADS ADS,USD,Common Stock,145607591,2025-10-19 04:11:41.193111,1
CULP,NYSE,XNYS,"Culp, Inc. Common Stock",USD,Common Stock,12605306,2025-10-19 04:11:41.303378,1
CURB,NYSE,XNYS,Curbline Properties Corp. Common Stock,USD,Common Stock,105220092,2025-10-19 04:11:41.302400,1
CURV,NYSE,XNYS,Torrid Holdings Inc. Common Stock,USD,Common Stock,99165951,2025-10-19 04:11:42.046850,1
CUZ,NYSE,XNYS,Cousins Properties Incorporated Common Stock,USD,Common Stock,167967656,2025-10-19 04:11:41.608326,1
CVE,NYSE,XNYS,Cenovus Energy Inc Common Stock,USD,Common Stock,1778251000,2025-10-19 04:11:41.724955,1
CVEO,NYSE,XNYS,Civeo Corporation (Canada) Common Shares,USD,Common Stock,12551769,2025-10-19 04:11:41.722041,1
CVI,NYSE,XNYS,CVR Energy Inc. Common Stock,USD,Common Stock,100530599,2025-10-19 04:11:41.720259,1
CVLG,NYSE,XNYS,"Covenant Logistics Group, Inc. Class A Common Stock",USD,Common Stock,20319619,2025-10-19 04:11:41.723762,1
CVNA,NYSE,XNYS,Carvana Co. Class A Common Stock,USD,Common Stock,116947000,2025-10-19 04:11:42.054240,1
CVS,NYSE,XNYS,CVS Health Corporation Common Stock,USD,Common Stock,1268326375,2025-10-19 04:11:42.049751,1
CVX,NYSE,XNYS,Chevron Corporation Common Stock,USD,Common Stock,2014822376,2025-10-19 04:11:42.052231,1
CW,NYSE,XNYS,Curtiss-Wright Corporation Common Stock,USD,Common Stock,37678109,2025-10-19 04:11:42.157604,1
CWAN,NYSE,XNYS,"Clearwater Analytics Holdings, Inc. Class A Common Stock",USD,Common Stock,287938740,2025-10-19 04:11:42.169951,1
CWEN,NYSE,XNYS,"Clearway Energy, Inc. Class C Common Stock",USD,Common Stock,83263747,2025-10-19 04:11:42.167894,1
CWH,NYSE,XNYS,"Camping World Holdings, Inc. Class A Common Stock",USD,Common Stock,62648648,2025-10-19 04:11:42.167208,1
CWK,NYSE,XNYS,Cushman & Wakefield plc Ordinary Shares,USD,Common Stock,231531216,2025-10-19 04:11:42.163352,1
CWT,NYSE,XNYS,California Water Service Group Common Stock,USD,Common Stock,59581155,2025-10-19 04:11:42.555448,1
CX,NYSE,XNYS,"Cemex, S.A.B. de C.V. Sponsored ADR",USD,Common Stock,1450832824,2025-10-19 04:11:42.285921,1
CXE,NYSE,XNYS,MFS High Income Municipal Trust Common Stock,USD,Common Stock,31525773,2025-10-19 04:11:42.276065,1
CXH,NYSE,XNYS,MFS Investment Grade Municipal Trust Common Stock,USD,Common Stock,8199220,2025-10-19 04:11:42.291530,1
CXM,NYSE,XNYS,"Sprinklr, Inc. Class A Common Stock",USD,Common Stock,142422232,2025-10-19 04:11:42.473559,1
CXT,NYSE,XNYS,"Crane NXT, Co. Common Stock",USD,Common Stock,57418206,2025-10-19 04:11:42.507012,1
CXW,NYSE,XNYS,"CoreCivic, Inc. Common Stock",USD,Common Stock,107059948,2025-10-19 04:11:42.395147,1
CYD,NYSE,XNYS,China Yuchai International Limited Common Stock,USD,Common Stock,37518322,2025-10-19 04:11:42.392364,1
CYH,NYSE,XNYS,"Community Health Systems, Inc. Common Stock",USD,Common Stock,140119116,2025-10-19 04:11:42.499438,1
D,NYSE,XNYS,"Dominion Energy, Inc. Common Stock",USD,Common Stock,853433625,2025-10-19 04:11:42.558137,1
DAC,NYSE,XNYS,Danaos Corporation Common Stock,USD,Common Stock,18309654,2025-10-19 04:11:42.504447,1
DAL,NYSE,XNYS,"Delta Air Lines, Inc. Common Stock",USD,Common Stock,652962768,2025-10-19 04:11:43.036382,1
DAN,NYSE,XNYS,Dana Incorporated Common Stock ,USD,Common Stock,131153633,2025-10-19 04:11:43.042299,1
DAO,NYSE,XNYS,"Youdao, Inc. American Depositary Shares, each representing one Class A Ordinary Share",USD,Common Stock,31280889,2025-10-19 04:11:43.038725,1
DAR,NYSE,XNYS,Darling Ingredients Inc. Common Stock,USD,Common Stock,158185905,2025-10-19 04:11:42.622161,1
DAVA,NYSE,XNYS,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),USD,Common Stock,40782810,2025-10-19 04:11:42.615951,1
DAY,NYSE,XNYS,"Dayforce, Inc. Common Stock",USD,Common Stock,158006476,2025-10-19 04:11:42.632274,1
DB,NYSE,XNYS,Deutsche Bank AG Common Stock,USD,Common Stock,1926152885,2025-10-19 04:11:42.626366,1
DBD,NYSE,XNYS,Diebold Nixdorf Incorporated Common stock,USD,Common Stock,36633544,2025-10-19 04:11:43.045381,1
DBI,NYSE,XNYS,Designer Brands Inc. Class A Common Stock,USD,Common Stock,41810747,2025-10-19 04:11:43.032424,1
DBL,NYSE,XNYS,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,USD,Common Stock,18877244,2025-10-19 04:11:43.029370,1
DBRG,NYSE,XNYS,"DigitalBridge Group, Inc.",USD,Common Stock,182123622,2025-10-19 04:11:43.142633,1
DCI,NYSE,XNYS,"Donaldson Company, Inc. Common Stock",USD,Common Stock,115831472,2025-10-19 04:11:43.155216,1
DCO,NYSE,XNYS,Ducommun Incorporated Common Stock,USD,Common Stock,14923743,2025-10-19 04:11:43.264776,1
DD,NYSE,XNYS,"DuPont de Nemours, Inc. Common Stock",USD,Common Stock,418716685,2025-10-19 04:11:43.257285,1
DDD,NYSE,XNYS,3D Systems Corporation Common Stock,USD,Common Stock,128252556,2025-10-19 04:11:43.268287,1
DDL,NYSE,XNYS,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),USD,Common Stock,180407221,2025-10-19 04:11:43.269060,1
DDS,NYSE,XNYS,"Dillard's, Inc. Common Stock",USD,Common Stock,11626733,2025-10-19 04:11:43.369450,1
DE,NYSE,XNYS,Deere & Company Common Stock,USD,Common Stock,270329392,2025-10-19 04:11:43.429065,1
DEA,NYSE,XNYS,"Easterly Government Properties, Inc. Common Stock",USD,Common Stock,45354115,2025-10-19 04:11:43.461117,1
DEC,NYSE,XNYS,Diversified Energy Company plc Ordinary Shares,USD,Common Stock,76211914,2025-10-19 04:11:43.478127,1
DECK,NYSE,XNYS,Deckers Outdoor Corporation Common Stock,USD,Common Stock,148343362,2025-10-19 04:11:43.375557,1
DEI,NYSE,XNYS,"Douglas Emmett, Inc. Common Stock",USD,Common Stock,167446350,2025-10-19 04:11:43.478783,1
DELL,NYSE,XNYS,Dell Technologies Inc. Class C Common Stock ,USD,Common Stock,338646945,2025-10-19 04:11:43.487722,1
DEO,NYSE,XNYS,Diageo plc Common Stock,USD,Common Stock,555846901,2025-10-19 04:11:43.600192,1
DFH,NYSE,XNYS,"Dream Finders Homes, Inc. Class A Common Stock",USD,Common Stock,35155531,2025-10-19 04:11:43.602841,1
DFIN,NYSE,XNYS,"Donnelley Financial Solutions, Inc. Common Stock ",USD,Common Stock,27494777,2025-10-19 04:11:43.596602,1
DFP,NYSE,XNYS,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,USD,Common Stock,20538137,2025-10-19 04:11:43.601390,1
DG,NYSE,XNYS,Dollar General Corporation Common Stock,USD,Common Stock,220106028,2025-10-19 04:11:43.871720,1
DGX,NYSE,XNYS,Quest Diagnostics Incorporated Common Stock,USD,Common Stock,111823441,2025-10-19 04:11:43.606587,1
DHF,NYSE,XNYS,BNY Mellon High Yield Strategies Fund Common Stock,USD,Common Stock,72826245,2025-10-19 04:11:43.636599,1
DHI,NYSE,XNYS,"D.R. Horton, Inc. Common Stock",USD,Common Stock,298123529,2025-10-19 04:11:43.705034,1
DHR,NYSE,XNYS,Danaher Corporation Common Stock,USD,Common Stock,716051590,2025-10-19 04:11:43.712644,1
DHT,NYSE,XNYS,"DHT Holdings, Inc.",USD,Common Stock,160799407,2025-10-19 04:11:43.721787,1
DHX,NYSE,XNYS,"DHI Group, Inc. Common Stock",USD,Common Stock,48010352,2025-10-19 04:11:43.777345,1
DIAX,NYSE,XNYS,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,USD,Common Stock,36366913,2025-10-19 04:11:43.830829,1
DIN,NYSE,XNYS,"Dine Brands Global, Inc. Common Stock",USD,Common Stock,15379323,2025-10-19 04:11:43.832480,1
DINO,NYSE,XNYS,HF Sinclair Corporation Common Stock,USD,Common Stock,187080559,2025-10-19 04:11:43.818177,1
DIS,NYSE,XNYS,Walt Disney Company (The) Common Stock,USD,Common Stock,1797933833,2025-10-19 04:11:43.938074,1
DK,NYSE,XNYS,"Delek US Holdings, Inc. Common Stock",USD,Common Stock,60152407,2025-10-19 04:11:44.242815,1
DKL,NYSE,XNYS,"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",USD,Common Stock,53463829,2025-10-19 04:11:44.234164,1
DKS,NYSE,XNYS,Dick's Sporting Goods Inc Common Stock,USD,Common Stock,66105690,2025-10-19 04:11:44.245542,1
DLB,NYSE,XNYS,Dolby Laboratories Common Stock,USD,Common Stock,61184140,2025-10-19 04:11:44.247384,1
DLNG,NYSE,XNYS,Dynagas LNG Partners LP Common Units,USD,Common Stock,36530944,2025-10-19 04:11:44.249503,1
DLR,NYSE,XNYS,"Digital Realty Trust, Inc. Common Stock",USD,Common Stock,341050435,2025-10-19 04:11:44.665770,1
DLX,NYSE,XNYS,Deluxe Corporation Common Stock,USD,Common Stock,44885245,2025-10-19 04:11:44.369305,1
DLY,NYSE,XNYS,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,USD,Common Stock,48490382,2025-10-19 04:11:44.351772,1
DMA,NYSE,XNYS,Destra Multi-Alternative Fund Common Stock,USD,Common Stock,8963239,2025-10-19 04:11:44.469304,1
DMB,NYSE,XNYS,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. Common Stock",USD,Common Stock,18405973,2025-10-19 04:11:44.466612,1
DMO,NYSE,XNYS,Western Asset Mortgage Opportunity Fund Inc. Common Stock,USD,Common Stock,11388960,2025-10-19 04:11:44.571062,1
DNA,NYSE,XNYS,"Ginkgo Bioworks Holdings, Inc. Class A Common Stock",USD,Common Stock,47089598,2025-10-19 04:11:44.575361,1
DNOW,NYSE,XNYS,DNOW Inc. Common Stock,USD,Common Stock,105011966,2025-10-19 04:11:44.582871,1
DNP,NYSE,XNYS,"DNP Select Income Fund, Inc. Common Stock",USD,Common Stock,372706845,2025-10-19 04:11:44.674852,1
DOC,NYSE,XNYS,"Healthpeak Properties, Inc. Common Stock",USD,Common Stock,694923453,2025-10-19 04:11:44.577341,1
DOCN,NYSE,XNYS,"DigitalOcean Holdings, Inc. Common Stock",USD,Common Stock,91037498,2025-10-19 04:11:44.673965,1
DOCS,NYSE,XNYS,"Doximity, Inc. Class A Common Stock",USD,Common Stock,136400248,2025-10-19 04:11:44.688206,1
DOLE,NYSE,XNYS,Dole plc Ordinary Shares,USD,Common Stock,95162657,2025-10-19 04:11:44.729660,1
DOUG,NYSE,XNYS,Douglas Elliman Inc. Common Stock,USD,Common Stock,88708101,2025-10-19 04:11:44.793086,1
DOV,NYSE,XNYS,Dover Corporation Common Stock,USD,Common Stock,137134453,2025-10-19 04:11:45.217831,1
DOW,NYSE,XNYS,Dow Inc. Common Stock ,USD,Common Stock,708844151,2025-10-19 04:11:44.789031,1
DPG,NYSE,XNYS,Duff & Phelps Utility and Infrastructure Fund Inc.,USD,Common Stock,36720443,2025-10-19 04:11:44.794925,1
DQ,NYSE,XNYS,"DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares",USD,Common Stock,67056715,2025-10-19 04:11:45.090137,1
DRD,NYSE,XNYS,DRDGOLD Limited American Depositary Shares,USD,Common Stock,86416236,2025-10-19 04:11:45.095659,1
DRH,NYSE,XNYS,Diamondrock Hospitality Company Common Stock,USD,Common Stock,204954590,2025-10-19 04:11:45.515338,1
DRI,NYSE,XNYS,"Darden Restaurants, Inc. Common Stock",USD,Common Stock,116313762,2025-10-19 04:11:45.104170,1
DSL,NYSE,XNYS,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,USD,Common Stock,114211346,2025-10-19 04:11:45.209665,1
DSM,NYSE,XNYS,"BNY Mellon Strategic Municipal Bond Fund, Inc. Common Stock",USD,Common Stock,50247708,2025-10-19 04:11:45.213905,1
DSU,NYSE,XNYS,"Blackrock Debt Strategies Fund, Inc. Common Stock",USD,Common Stock,55698311,2025-10-19 04:11:45.531507,1
DSX,NYSE,XNYS,Diana Shipping inc. common stock,USD,Common Stock,115775463,2025-10-19 04:11:45.639615,1
DT,NYSE,XNYS,"Dynatrace, Inc. Common Stock",USD,Common Stock,301506242,2025-10-19 04:11:45.635539,1
DTE,NYSE,XNYS,DTE Energy Company Common Stock,USD,Common Stock,207587803,2025-10-19 04:11:45.639092,1
DTF,NYSE,XNYS,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,USD,Common Stock,7029567,2025-10-19 04:11:46.038722,1
DTM,NYSE,XNYS,"DT Midstream, Inc. Common Stock ",USD,Common Stock,101592505,2025-10-19 04:11:46.050764,1
DTW,NYSE,XNYS,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,USD,Common Stock,179394000,2025-10-19 04:11:46.451477,1
DUK,NYSE,XNYS,Duke Energy Corporation (Holding Company) Common Stock,USD,Common Stock,777624467,2025-10-19 04:11:46.151077,1
DV,NYSE,XNYS,"DoubleVerify Holdings, Inc. Common Stock",USD,Common Stock,163628379,2025-10-19 04:11:46.162744,1
DVA,NYSE,XNYS,DaVita Inc. Common Stock,USD,Common Stock,71500000,2025-10-19 04:11:46.170725,1
DVN,NYSE,XNYS,Devon Energy Corporation Common Stock,USD,Common Stock,634800000,2025-10-19 04:11:46.581920,1
DX,NYSE,XNYS,"Dynex Capital, Inc. Common Stock",USD,Common Stock,129912157,2025-10-19 04:11:46.566513,1
DXC,NYSE,XNYS,DXC Technology Company Common Stock ,USD,Common Stock,178998669,2025-10-19 04:11:46.570267,1
DXYZ,NYSE,XNYS,Destiny Tech100 Inc. Common Stock,USD,Common Stock,10879905,2025-10-19 04:11:46.583624,1
DY,NYSE,XNYS,"Dycom Industries, Inc. Common Stock",USD,Common Stock,28954101,2025-10-19 04:11:46.577774,1
E,NYSE,XNYS,ENI S.p.A. Common Stock,USD,Common Stock,1495067651,2025-10-19 04:11:46.579597,1
EAF,NYSE,XNYS,GrafTech International Ltd. Common Stock,USD,Common Stock,25815144,2025-10-19 04:11:46.587373,1
EAI,NYSE,XNYS,"Entergy Arkansas, LLC First Mortgage Bonds, 4.875% Series Due September 1, 2066",USD,Common Stock,46980200,2025-10-19 04:11:46.692664,1
EARN,NYSE,XNYS,Ellington Credit Company Common Shares of Beneficial Interest,USD,Common Stock,37559195,2025-10-19 04:11:46.689658,1
EAT,NYSE,XNYS,"Brinker International, Inc. Common Stock",USD,Common Stock,44431215,2025-10-19 04:11:46.680113,1
EB,NYSE,XNYS,"Eventbrite, Inc. Class A Common Stock",USD,Common Stock,80853054,2025-10-19 04:11:46.687286,1
EBF,NYSE,XNYS,"Ennis, Inc. Common Stock",USD,Common Stock,25629751,2025-10-19 04:11:46.693469,1
EBR,NYSE,XNYS,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),USD,Common Stock,1975761584,2025-10-19 04:11:47.006124,1
EBS,NYSE,XNYS,Emergent BioSolutions Inc. Common Stock,USD,Common Stock,53351099,2025-10-19 04:11:47.173573,1
EC,NYSE,XNYS,Ecopetrol S.A. American Depositary Shares,USD,Common Stock,2055834735,2025-10-19 04:11:47.235956,1
ECAT,NYSE,XNYS,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,USD,Common Stock,99345793,2025-10-19 04:11:47.115913,1
ECC,NYSE,XNYS,Eagle Point Credit Company Inc. Common Stock,USD,Common Stock,126331691,2025-10-19 04:11:47.125779,1
ECCX,NYSE,XNYS,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,USD,Common Stock,18090700,2025-10-19 04:11:47.248489,1
ECG,NYSE,XNYS,"Everus Construction Group, Inc. Common Stock",USD,Common Stock,51006575,2025-10-19 04:11:47.242890,1
ECL,NYSE,XNYS,Ecolab Inc. Common Stock,USD,Common Stock,283624912,2025-10-19 04:11:47.279020,1
ECO,NYSE,XNYS,Okeanis Eco Tankers Corp. Common Stock,USD,Common Stock,32194108,2025-10-19 04:11:47.356872,1
ECVT,NYSE,XNYS,Ecovyst Inc. Common Stock,USD,Common Stock,114417966,2025-10-19 04:11:48.077610,1
ED,NYSE,XNYS,"Consolidated Edison, Inc. Common Stock",USD,Common Stock,360651665,2025-10-19 04:11:48.191920,1
EDD,NYSE,XNYS,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Common Stock",USD,Common Stock,64456047,2025-10-19 04:11:48.079059,1
EDF,NYSE,XNYS,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,USD,Common Stock,30979665,2025-10-19 04:11:47.478105,1
EDN,NYSE,XNYS,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,USD,Common Stock,20589678,2025-10-19 04:11:48.083028,1
EDU,NYSE,XNYS,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)",USD,Common Stock,159145747,2025-10-19 04:11:48.080011,1
EE,NYSE,XNYS,"Excelerate Energy, Inc. Class A Common Stock",USD,Common Stock,32001057,2025-10-19 04:11:48.078076,1
EEA,NYSE,XNYS,"The European Equity Fund, Inc. Common Stock",USD,Common Stock,6725724,2025-10-19 04:11:48.075656,1
EEX,NYSE,XNYS,"Emerald Holding, Inc. Common Stock",USD,Common Stock,197972894,2025-10-19 04:11:48.193321,1
EFC,NYSE,XNYS,Ellington Financial Inc. Common Stock ,USD,Common Stock,99893894,2025-10-19 04:11:48.082112,1
EFR,NYSE,XNYS,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,USD,Common Stock,29523618,2025-10-19 04:11:48.193763,1
EFT,NYSE,XNYS,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,USD,Common Stock,26578058,2025-10-19 04:11:48.435514,1
EFX,NYSE,XNYS,"Equifax, Inc. Common Stock",USD,Common Stock,123197380,2025-10-19 04:11:48.437068,1
EFXT,NYSE,XNYS,Enerflex Ltd Common Shares,USD,Common Stock,122247228,2025-10-19 04:11:48.443109,1
EG,NYSE,XNYS,"Everest Group, Ltd. Common Stock",USD,Common Stock,41943291,2025-10-19 04:11:48.439401,1
EGO,NYSE,XNYS,Eldorado Gold Corporation Ordinary Shares,USD,Common Stock,203199350,2025-10-19 04:11:48.451206,1
EGP,NYSE,XNYS,"EastGroup Properties, Inc. Common Stock",USD,Common Stock,53334394,2025-10-19 04:11:48.436164,1
EGY,NYSE,XNYS,"VAALCO Energy, Inc.  Common Stock",USD,Common Stock,104258253,2025-10-19 04:11:48.427972,1
EHAB,NYSE,XNYS,"Enhabit, Inc. Common Stock",USD,Common Stock,50690382,2025-10-19 04:11:48.438272,1
EHC,NYSE,XNYS,Encompass Health Corporation Common Stock,USD,Common Stock,100723828,2025-10-19 04:11:48.646706,1
EHI,NYSE,XNYS,Western Asset Global High Income Fund Inc Common Stock,USD,Common Stock,30299742,2025-10-19 04:11:48.657271,1
EIC,NYSE,XNYS,Eagle Point Income Company Inc. Common Stock,USD,Common Stock,26514399,2025-10-19 04:11:48.550497,1
EIG,NYSE,XNYS,Employers Holdings Inc Common Stock,USD,Common Stock,23511590,2025-10-19 04:11:48.659535,1
EIX,NYSE,XNYS,Edison International Common Stock,USD,Common Stock,384834007,2025-10-19 04:11:48.784195,1
EL,NYSE,XNYS,"Estee Lauder Companies, Inc. (The) Common Stock",USD,Common Stock,234815064,2025-10-19 04:11:49.018134,1
ELAN,NYSE,XNYS,Elanco Animal Health Incorporated Common Stock,USD,Common Stock,496813702,2025-10-19 04:11:48.770670,1
ELF,NYSE,XNYS,"e.l.f. Beauty, Inc. Common Stock",USD,Common Stock,56734903,2025-10-19 04:11:48.781106,1
ELME,NYSE,XNYS,Elme Communities Common Stock,USD,Common Stock,88161161,2025-10-19 04:11:48.798086,1
ELP,NYSE,XNYS,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),USD,Common Stock,418777598,2025-10-19 04:11:48.802462,1
ELPC,NYSE,XNYS,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing four (4) Common Shares),USD,Common Stock,323630515,2025-10-19 04:11:48.905095,1
ELS,NYSE,XNYS,"Equity Lifestyle Properties, Inc. Common Stock",USD,Common Stock,193789749,2025-10-19 04:11:48.998837,1
ELV,NYSE,XNYS,"Elevance Health, Inc. Common Stock",USD,Common Stock,225178304,2025-10-19 04:11:49.218585,1
EMA,NYSE,XNYS,Emera Incorporated Common Shares,USD,Common Stock,299300000,2025-10-19 04:11:49.011750,1
EMD,NYSE,XNYS,Western Asset Emerging Markets Debt Fund Inc Common Stock,USD,Common Stock,58130443,2025-10-19 04:11:49.007571,1
